Vocab,Meaning
aberration,deviation
abstruse,obscure  
acumen,insight  
adulation,praise  
aesthetic,beautiful  
alacrity,eagerness  
ameliorate,improve  
anachronistic,mistimed  
assiduous,diligent  
asylum,shelter  
belligerent,hostile  
benevolent,kind  
camaraderie,friendship  
capitulate,surrender  
catharsis,release  
caustic,harsh  
chicanery,deception  
cogent,convincing  
commensurate,equal  
conundrum,puzzle  
credulity,naivety  
dearth,shortage  
deleterious,harmful  
demagogue,agitator  
diatribe,criticism  
dichotomy,contrast  
discursive,rambling  
disparate,different  
ebullient,enthusiastic  
eclectic,varied  
efficacy,effectiveness  
effrontery,audacity  
egregious,shocking  
elucidate,explain  
emollient,soothing  
enervate,weaken  
ephemeral,short-lived  
epitome,model  
esoteric,obscure  
euphoria,joy  
exacerbate,worsen  
exculpate,absolve  
execrable,horrible  
exigent,urgent  
fastidious,meticulous  
florid,ornate  
fortuitous,accidental  
garrulous,talkative  
grandiloquent,pompous  
gregarious,sociable  
hackneyed,overused  
hapless,unlucky  
harbinger,omen  
heterogeneous,diverse  
idiosyncratic,peculiar  
ignominious,shameful  
impecunious,poor  
impervious,impenetrable  
impetuous,rash  
inchoate,unformed  
indefatigable,untiring  
indolent,lazy  
ineffable,indescribable  
insidious,deceptive  
insipid,bland  
intransigent,unyielding  
intrepid,fearless  
juxtaposition,comparison  
laconic,concise  
magnanimous,generous  
malaise,discomfort  
maverick,nonconformist  
melancholy,sadness  
mercurial,unpredictable  
mitigate,lessen  
morose,gloomy  
munificent,generous  
nefarious,wicked  
nonchalant,calm  
obfuscate,confuse  
obsequious,fawning  
opprobrium,disgrace  
ostentatious,showy  
paradigm,model  
pedantic,scholarly  
penchant,preference  
perfunctory,careless  
perspicacious,insightful  
petulant,irritable  
platitude,cliché  
precocious,advanced  
proclivity,tendency  
profligate,wasteful  
prosaic,ordinary  
pugnacious,combative  
querulous,complaining  
quotidian,daily  
rarefied,exclusive  
recalcitrant,stubborn  
recondite,obscure
